datetime,S,I,r,D
13-Oct-2020,10704130,4026,67903,1937
14-Oct-2020,10703754,4054,68245,1943
15-Oct-2020,10703375,4082,68590,1950
16-Oct-2020,10702993,4110,68937,1957
17-Oct-2020,10702608,4138,69287,1964
18-Oct-2020,10702221,4166,69638,1971
19-Oct-2020,10701832,4195,69993,1977
20-Oct-2020,10701439,4223,70349,1984
21-Oct-2020,10701044,4252,70708,1991
22-Oct-2020,10700647,4281,71070,1998
23-Oct-2020,10700246,4311,71434,2005
24-Oct-2020,10699843,4340,71800,2013
25-Oct-2020,10699437,4370,72169,2020
26-Oct-2020,10699029,4400,72541,2027
27-Oct-2020,10698617,4430,72915,2034
28-Oct-2020,10698203,4460,73292,2041
29-Oct-2020,10697786,4490,73671,2049
30-Oct-2020,10697367,4521,74053,2056
31-Oct-2020,10696944,4552,74437,2064
01-Nov-2020,10696518,4583,74824,2071
02-Nov-2020,10696090,4614,75214,2079
03-Nov-2020,10695659,4645,75606,2086
04-Nov-2020,10695225,4677,76001,2094
05-Nov-2020,10694787,4709,76399,2102
06-Nov-2020,10694347,4740,76799,2110
07-Nov-2020,10693904,4773,77202,2117
08-Nov-2020,10693458,4805,77608,2125
09-Nov-2020,10693009,4838,78016,2133
10-Nov-2020,10692557,4870,78428,2141
11-Nov-2020,10692102,4903,78842,2149
12-Nov-2020,10691644,4936,79259,2157
13-Nov-2020,10691183,4970,79678,2166
14-Nov-2020,10690719,5003,80101,2174
15-Nov-2020,10690251,5037,80526,2182
16-Nov-2020,10689781,5071,80954,2190
17-Nov-2020,10689307,5105,81386,2199
18-Nov-2020,10688830,5140,81820,2207
19-Nov-2020,10688350,5174,82257,2216
20-Nov-2020,10687866,5209,82697,2224
21-Nov-2020,10687380,5244,83139,2233
22-Nov-2020,10686890,5279,83585,2241
23-Nov-2020,10686397,5315,84034,2250
24-Nov-2020,10685901,5351,84486,2259
25-Nov-2020,10685401,5386,84941,2268
26-Nov-2020,10684898,5423,85399,2277
27-Nov-2020,10684392,5459,85860,2286
28-Nov-2020,10683882,5495,86324,2295
29-Nov-2020,10683369,5532,86791,2304
30-Nov-2020,10682853,5569,87262,2313
01-Dec-2020,10682333,5606,87735,2322
02-Dec-2020,10681809,5644,88212,2331
03-Dec-2020,10681283,5682,88692,2341
04-Dec-2020,10680752,5719,89175,2350
05-Dec-2020,10680218,5758,89661,2359
06-Dec-2020,10679681,5796,90150,2369
07-Dec-2020,10679140,5834,90643,2379
08-Dec-2020,10678596,5873,91139,2388
09-Dec-2020,10678048,5912,91639,2398
10-Dec-2020,10677496,5952,92141,2408
11-Dec-2020,10676941,5991,92647,2417
12-Dec-2020,10676382,6031,93157,2427
13-Dec-2020,10675819,6071,93669,2437
14-Dec-2020,10675253,6111,94185,2447
15-Dec-2020,10674683,6151,94705,2457
16-Dec-2020,10674109,6192,95228,2468
17-Dec-2020,10673531,6233,95754,2478
18-Dec-2020,10672950,6274,96284,2488
19-Dec-2020,10672365,6315,96818,2498
20-Dec-2020,10671776,6357,97354,2509
21-Dec-2020,10671183,6399,97895,2519
22-Dec-2020,10670587,6441,98439,2530
23-Dec-2020,10669986,6483,98986,2541
24-Dec-2020,10669382,6526,99538,2551
25-Dec-2020,10668773,6569,100092,2562
26-Dec-2020,10668161,6612,100651,2573
27-Dec-2020,10667544,6655,101213,2584
28-Dec-2020,10666924,6699,101779,2595
29-Dec-2020,10666300,6743,102348,2606
30-Dec-2020,10665671,6787,102921,2617
31-Dec-2020,10665039,6831,103498,2628
01-Jan-2021,10664402,6876,104079,2639
02-Jan-2021,10663762,6920,104664,2651
03-Jan-2021,10663117,6965,105252,2662
04-Jan-2021,10662468,7011,105844,2674
05-Jan-2021,10661815,7056,106440,2685
06-Jan-2021,10661157,7102,107040,2697
07-Jan-2021,10660496,7148,107644,2709
08-Jan-2021,10659830,7195,108251,2721
09-Jan-2021,10659160,7241,108863,2732
10-Jan-2021,10658485,7288,109479,2744
11-Jan-2021,10657807,7335,110098,2756
12-Jan-2021,10657123,7383,110722,2768
13-Jan-2021,10656436,7430,111349,2781
14-Jan-2021,10655744,7478,111981,2793
15-Jan-2021,10655048,7526,112617,2805
16-Jan-2021,10654347,7575,113257,2818
17-Jan-2021,10653642,7624,113901,2830
18-Jan-2021,10652932,7673,114549,2843
19-Jan-2021,10652218,7722,115201,2855
20-Jan-2021,10651500,7771,115857,2868
21-Jan-2021,10650776,7821,116518,2881
22-Jan-2021,10650048,7871,117183,2894
23-Jan-2021,10649316,7922,117852,2907
24-Jan-2021,10648579,7972,118525,2920
25-Jan-2021,10647837,8023,119203,2933
26-Jan-2021,10647091,8074,119885,2946
27-Jan-2021,10646340,8126,120571,2960
