datetime,S,NQ,NR,ND,I,Q,R,D
05-Jun-2020,10709878,2349,46175,0,4401,4401,2751,532
06-Jun-2020,10707276,4127,46757,15,4504,4275,2994,539
07-Jun-2020,10704674,5511,47720,38,4610,4160,3229,545
08-Jun-2020,10702072,6587,48977,66,4718,4056,3459,551
09-Jun-2020,10699472,7424,50461,99,4829,3961,3683,558
10-Jun-2020,10696874,8075,52118,135,4942,3876,3903,564
11-Jun-2020,10694280,8582,53908,174,5057,3799,4117,570
12-Jun-2020,10691689,8975,55799,215,5176,3730,4328,575
13-Jun-2020,10689102,9281,57765,258,5297,3668,4535,581
14-Jun-2020,10686519,9518,59789,301,5421,3614,4738,587
15-Jun-2020,10683940,9703,61854,346,5547,3565,4939,592
16-Jun-2020,10681366,9845,63949,392,5677,3523,5137,598
17-Jun-2020,10678795,9956,66065,438,5809,3487,5333,603
18-Jun-2020,10676229,10042,68194,485,5945,3457,5528,608
19-Jun-2020,10673666,10108,70332,532,6083,3432,5720,614
20-Jun-2020,10671107,10159,72475,579,6225,3412,5912,619
21-Jun-2020,10668552,10198,74618,626,6370,3397,6102,624
22-Jun-2020,10666001,10227,76759,674,6518,3386,6292,629
23-Jun-2020,10663452,10250,78897,722,6670,3380,6481,635
24-Jun-2020,10660907,10267,81029,770,6825,3379,6670,640
25-Jun-2020,10658365,10280,83155,818,6984,3381,6859,645
26-Jun-2020,10655826,10289,85273,866,7146,3388,7048,650
27-Jun-2020,10653289,10296,87384,914,7312,3398,7238,655
28-Jun-2020,10650755,10301,89486,962,7482,3413,7429,661
29-Jun-2020,10648223,10304,91579,1010,7655,3431,7620,666
30-Jun-2020,10645692,10306,93663,1058,7833,3452,7813,671
01-Jul-2020,10643163,10307,95737,1106,8014,3477,8006,676
02-Jul-2020,10640636,10307,97802,1154,8200,3505,8202,682
03-Jul-2020,10638110,10307,99857,1202,8389,3537,8399,687
04-Jul-2020,10635584,10306,101902,1250,8583,3572,8598,693
05-Jul-2020,10633059,10305,103937,1298,8782,3610,8798,698
06-Jul-2020,10630535,10303,105962,1346,8985,3651,9001,704
07-Jul-2020,10628011,10301,107977,1394,9192,3695,9207,709
08-Jul-2020,10625486,10300,109983,1442,9405,3742,9415,715
09-Jul-2020,10622961,10298,111978,1490,9622,3792,9626,721
10-Jul-2020,10620436,10295,113964,1538,9843,3845,9839,727
11-Jul-2020,10617909,10293,115940,1586,10070,3900,10056,733
12-Jul-2020,10615381,10291,117905,1634,10302,3959,10276,739
