datetime,S,NQ,ND,I,Q,R,D
14-Sep-2020,10669241,28477,4144,13043,12161,42325,1440
15-Sep-2020,10667579,28939,4192,12986,12321,43353,1461
16-Sep-2020,10665917,29405,4240,12929,12464,44395,1482
17-Sep-2020,10664258,29873,4289,12872,12589,45447,1504
18-Sep-2020,10662599,30344,4339,12815,12699,46509,1525
19-Sep-2020,10660943,30818,4390,12758,12795,47580,1547
20-Sep-2020,10659289,31294,4442,12702,12878,48658,1569
21-Sep-2020,10657636,31773,4494,12645,12949,49743,1591
22-Sep-2020,10655985,32254,4547,12588,13010,50834,1614
23-Sep-2020,10654337,32737,4601,12532,13060,51929,1636
24-Sep-2020,10652691,33223,4656,12475,13101,53028,1659
25-Sep-2020,10651047,33711,4711,12419,13134,54130,1681
26-Sep-2020,10649405,34200,4768,12363,13159,55234,1704
27-Sep-2020,10647766,34692,4825,12306,13177,56340,1726
28-Sep-2020,10646130,35185,4883,12250,13188,57447,1749
29-Sep-2020,10644496,35680,4942,12194,13194,58556,1771
30-Sep-2020,10642865,36176,5001,12138,13194,59664,1794
01-Oct-2020,10641237,36673,5062,12083,13189,60772,1817
02-Oct-2020,10639612,37172,5123,12027,13179,61880,1839
03-Oct-2020,10637990,37672,5185,11971,13166,62986,1862
04-Oct-2020,10636371,38173,5248,11916,13148,64091,1884
05-Oct-2020,10634756,38675,5312,11860,13127,65195,1907
06-Oct-2020,10633144,39177,5376,11805,13103,66297,1929
07-Oct-2020,10631536,39680,5442,11750,13076,67396,1952
08-Oct-2020,10629932,40183,5508,11695,13046,68493,1974
09-Oct-2020,10628331,40687,5575,11640,13014,69588,1997
10-Oct-2020,10626735,41191,5643,11585,12979,70680,2019
11-Oct-2020,10625142,41695,5712,11530,12943,71768,2041
12-Oct-2020,10623554,42199,5782,11475,12904,72854,2063
13-Oct-2020,10621970,42703,5852,11420,12864,73936,2085
14-Oct-2020,10620390,43207,5923,11366,12822,75015,2107
15-Oct-2020,10618816,43710,5996,11312,12779,76091,2129
16-Oct-2020,10617245,44212,6069,11257,12735,77162,2151
17-Oct-2020,10615680,44714,6142,11203,12689,78230,2173
18-Oct-2020,10614120,45215,6217,11149,12642,79294,2195
19-Oct-2020,10612564,45715,6292,11095,12595,80354,2216
20-Oct-2020,10611014,46214,6369,11041,12546,81410,2238
21-Oct-2020,10609469,46711,6446,10988,12497,82462,2259
22-Oct-2020,10607930,47207,6524,10934,12447,83509,2281
23-Oct-2020,10606396,47701,6603,10881,12396,84553,2302
24-Oct-2020,10604868,48194,6682,10827,12345,85592,2323
25-Oct-2020,10603345,48685,6763,10774,12293,86627,2344
26-Oct-2020,10601829,49174,6844,10721,12241,87657,2365
27-Oct-2020,10600319,49661,6926,10668,12188,88683,2386
28-Oct-2020,10598814,50146,7009,10615,12135,89705,2407
