q1:, 0.1040199755664080
q2:, 0.0254649082270350
betat:, 0.0000000434204393
betav:, 0.0000000000029461
beta1:, 0.0000000236215340
beta2:, 0.0000000177648151
beta3:, 0.0000000177499414
beta4:, 0.0000000074542102
eta1:, 0.0058693533181148
eta2:, 0.0087240272053774
eta3:, 0.0038328324092511
delta1:, 0.0009579401409388
delta2:, 0.0010439245533679
theta:, 0.0505786405131493
f1:, 1458.2625624139901000
f2:, 720.0165671973100000
f3:, 1654.2265422534699000
d:, 151.9643017928580100
betav1:, 0.0000000000000994
theta1:, 0.0001142263199518
sigma:, 0.0010481841374778
